Number;Name;Spawn_Type;Average_Rarity_Score;Recommendation;Data_Sources;Structured_Spawn_Data_Score;Enhanced_Curated_Data_Score;PokemonDB_Catch_Rate_Score;Inferred_Score
1;Bulbasaur;wild;2,70;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,34;6,00;1,76;
2;Ivysaur;evolution-only;0,89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,02;;1,76;
3;Venusaur;evolution-only;0,89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;1,76;
4;Charmander;wild;2,63;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,13;6,00;1,76;
5;Charmeleon;evolution-only;0,89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;1,76;
6;Charizard;evolution-only;0,88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,00;;1,76;
7;Squirtle;wild;2,68;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,29;6,00;1,76;
8;Wartortle;evolution-only;0,89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,02;;1,76;
9;Blastoise;evolution-only;0,88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,00;;1,76;
10;Caterpie;wild;6,51;Safe to Transfer;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;1,52;8,00;10,00;
11;Metapod;evolution-only;2,40;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,09;;4,71;
12;Butterfree;evolution-only;0,89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;1,76;
13;Weedle;wild;7,19;Safe to Transfer;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;3,56;8,00;10,00;
14;Kakuna;evolution-only;2,46;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,22;;4,71;
15;Beedrill;evolution-only;0,90;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,03;;1,76;
16;Pidgey;wild;9,33;Safe to Transfer;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;7,99;10,00;10,00;
